1,491.00,128.00
2,492.00,127.00
3,490.00,128.00
4,488.00,130.00
5,487.00,132.00
6,485.00,132.00
7,486.00,132.00
8,487.00,132.00
9,487.00,133.00
10,481.00,143.00
11,488.00,134.00
12,489.00,134.00
13,483.00,141.00
14,486.00,136.00
15,485.00,135.00
16,485.00,137.00
17,486.00,136.00
18,488.00,134.00
19,490.00,134.00
20,491.00,134.00
21,492.00,135.00
22,493.00,135.00
23,485.00,146.00
24,490.00,137.00
25,484.00,140.00
26,475.00,134.00
27,467.00,127.00
28,451.00,130.00
29,428.00,137.00
30,401.00,146.00
31,372.00,159.00
32,331.00,177.00
33,283.00,204.00
34,228.00,243.00
35,169.00,300.00
36,107.00,376.00
37,50.00,479.00
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,81.00,992.00
67,33.00,895.00
68,22.00,820.00
69,18.00,772.00
70,18.00,754.00
71,19.00,762.00
72,21.00,797.00
73,27.00,853.00
74,48.00,928.00
75,96.00,1015.00
76,171.00,1104.00
77,272.00,1179.00
78,,
79,,
80,,
81,,
82,916.00,1192.00
83,1004.00,1126.00
84,1058.00,1056.00
85,1073.00,1002.00
86,,
87,,
88,,
89,1075.00,992.00
90,1064.00,1035.00
91,1029.00,1100.00
92,955.00,1167.00
93,857.00,1228.00
94,,
95,,
96,,
97,,
98,267.00,1200.00
99,192.00,1145.00
100,141.00,1095.00
101,110.00,1059.00
102,93.00,1039.00
103,96.00,1042.00
104,112.00,1063.00
105,139.00,1094.00
106,177.00,1134.00
107,230.00,1178.00
108,299.00,1222.00
109,,
110,,
111,,
112,,
113,781.00,1281.00
114,845.00,1244.00
115,904.00,1209.00
116,948.00,1179.00
117,976.00,1158.00
118,987.00,1148.00
119,984.00,1151.00
120,966.00,1166.00
121,934.00,1190.00
122,887.00,1222.00
123,828.00,1254.00
124,,
125,,
126,,
127,,
128,,
129,323.00,1251.00
130,287.00,1218.00
131,250.00,1194.00
132,227.00,1178.00
133,222.00,1174.00
134,230.00,1182.00
135,249.00,1196.00
136,281.00,1216.00
137,312.00,1239.00
138,,
139,,
140,,
141,,
142,,
143,,
144,786.00,1286.00
145,812.00,1266.00
146,843.00,1251.00
147,863.00,1240.00
148,872.00,1235.00
149,868.00,1237.00
150,853.00,1246.00
151,827.00,1259.00
152,800.00,1276.00
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,332.00,1258.00
161,321.00,1245.00
162,315.00,1238.00
163,314.00,1238.00
164,319.00,1242.00
165,327.00,1252.00
166,,
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,791.00,1286.00
176,800.00,1277.00
177,804.00,1273.00
178,805.00,1273.00
179,801.00,1277.00
180,791.00,1283.00
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
